"plot","Species","Importance Value","time"
"1.3.1","PSME",0,"Pre-fire"
"1.3.2","PSME",170.469621962718,"Pre-fire"
"1.3.3","PSME",130.2453663165,"Pre-fire"
"1.3.4","PSME",117.804264089731,"Pre-fire"
"1.3.5","PSME",161.855399724641,"Pre-fire"
"1.3.6","PSME",0,"Pre-fire"
"1.4.1","PSME",0,"Pre-fire"
"1.4.2","PSME",153.995129935778,"Pre-fire"
"1.4.3","PSME",0,"Pre-fire"
"1.4.4","PSME",165.298815971092,"Pre-fire"
"1.4.5","PSME",0,"Pre-fire"
"1.4.6","PSME",169.89538506509,"Pre-fire"
"2.1.1","PSME",149.527305393436,"Pre-fire"
"2.1.2","PSME",125.818191551191,"Pre-fire"
"2.1.3","PSME",0,"Pre-fire"
"2.1.4","PSME",109.243839574973,"Pre-fire"
"2.1.5","PSME",148.75897592951,"Pre-fire"
"2.1.6","PSME",165.115083039042,"Pre-fire"
"2.2.1","PSME",185.738033706133,"Pre-fire"
"2.2.2","PSME",0,"Pre-fire"
"2.2.3","PSME",0,"Pre-fire"
"2.2.4","PSME",127.015685184895,"Pre-fire"
"2.2.5","PSME",150.356776423831,"Pre-fire"
"2.2.6","PSME",0,"Pre-fire"
"2.3.1","PSME",173.981958278254,"Pre-fire"
"2.3.2","PSME",0,"Pre-fire"
"2.3.3","PSME",110.742720132696,"Pre-fire"
"2.3.4","PSME",146.264106915363,"Pre-fire"
"2.3.5","PSME",0,"Pre-fire"
"2.3.6","PSME",0,"Pre-fire"
"2.4.1","PSME",0,"Pre-fire"
"2.4.2","PSME",0,"Pre-fire"
"2.4.3","PSME",0,"Pre-fire"
"2.4.4","PSME",0,"Pre-fire"
"2.4.5","PSME",0,"Pre-fire"
"2.4.6","PSME",0,"Pre-fire"
"3.1.1","PSME",192.296717131665,"Pre-fire"
"3.1.2","PSME",123.540166866444,"Pre-fire"
"3.1.3","PSME",0,"Pre-fire"
"3.1.4","PSME",124.287365574752,"Pre-fire"
"3.1.5","PSME",0,"Pre-fire"
"3.1.6","PSME",0,"Pre-fire"
"3.2.1","PSME",0,"Pre-fire"
"3.2.2","PSME",0,"Pre-fire"
"3.2.3","PSME",0,"Pre-fire"
"3.2.4","PSME",0,"Pre-fire"
"3.2.5","PSME",0,"Pre-fire"
"3.2.6","PSME",185.826028408326,"Pre-fire"
"3.3.2","PSME",141.06830163922,"Pre-fire"
"3.3.3","PSME",157.202112034397,"Pre-fire"
"3.3.4","PSME",0,"Pre-fire"
"3.3.5","PSME",208.309112654604,"Pre-fire"
"3.3.6","PSME",162.756862311999,"Pre-fire"
"3.4.1","PSME",0,"Pre-fire"
"3.4.2","PSME",128.622216499639,"Pre-fire"
"3.4.3","PSME",0,"Pre-fire"
"3.4.4","PSME",115.61704254775,"Pre-fire"
"3.4.5","PSME",0,"Pre-fire"
"3.4.6","PSME",155.727484639018,"Pre-fire"
"4.1.1","PSME",0,"Pre-fire"
"4.1.2","PSME",153.657216129946,"Pre-fire"
"4.1.3","PSME",0,"Pre-fire"
"4.1.4","PSME",0,"Pre-fire"
"4.1.5","PSME",0,"Pre-fire"
"4.1.6","PSME",0,"Pre-fire"
"4.2.1","PSME",122.394632101944,"Pre-fire"
"4.2.2","PSME",0,"Pre-fire"
"4.2.3","PSME",0,"Pre-fire"
"4.2.4","PSME",0,"Pre-fire"
"4.2.5","PSME",0,"Pre-fire"
"4.2.6","PSME",0,"Pre-fire"
"4.3.1","PSME",0,"Pre-fire"
"4.3.2","PSME",0,"Pre-fire"
"4.3.3","PSME",0,"Pre-fire"
"4.3.4","PSME",186.159403543816,"Pre-fire"
"4.3.5","PSME",0,"Pre-fire"
"4.3.6","PSME",0,"Pre-fire"
"4.4.1","PSME",123.45923681859,"Pre-fire"
