"plot","Spp","Condition","ba","tph","QMD","SDI"
"4.1.1","ABCO","Post-Chips Fire",0,0,0,0
"4.1.2","ABCO","Post-Chips Fire",0,0,0,0
"4.1.3","ABCO","Post-Chips Fire",0,0,0,0
"4.1.4","ABCO","Post-Chips Fire",0.025200093072,22.22,3.8,0.00119452901219662
"4.1.5","ABCO","Post-Chips Fire",0,0,0,0
"4.1.6","ABCO","Post-Chips Fire",0,0,0,0
"4.2.1","ABCO","Post-Chips Fire",19.24037577,22.22,105,187.699994333933
"4.2.2","ABCO","Post-Chips Fire",0,0,0,0
"4.2.3","ABCO","Post-Chips Fire",0,0,0,0
"4.2.4","ABCO","Post-Chips Fire",0,0,0,0
"4.2.5","ABCO","Post-Chips Fire",0,0,0,0
"4.2.6","ABCO","Post-Chips Fire",0,0,0,0
"4.3.1","ABCO","Post-Chips Fire",0,0,0,0
"4.3.2","ABCO","Post-Chips Fire",0,0,0,0
"4.3.3","ABCO","Post-Chips Fire",0,0,0,0
"4.3.4","ABCO","Post-Chips Fire",0,0,0,0
"4.3.5","ABCO","Post-Chips Fire",0,0,0,0
"4.3.6","ABCO","Post-Chips Fire",2.493552699792,22.22,37.8,4.71992149032234
"4.4.1","ABCO","Post-Chips Fire",0,0,0,0
"4.4.2","ABCO","Post-Chips Fire",0,0,0,0
"4.4.3","ABCO","Post-Chips Fire",0,0,0,0
"4.4.4","ABCO","Post-Chips Fire",0,0,0,0
"4.4.5","ABCO","Post-Chips Fire",0,0,0,0
"4.4.6","ABCO","Post-Chips Fire",0,0,0,0
"1.1.1","CADE","Post-Chips Fire",0.234828568128,22.22,11.6,0.0667494801186118
"1.1.2","CADE","Post-Chips Fire",0.067083904272,22.22,6.2,0.0069766811790144
"1.1.3","CADE","Post-Chips Fire",0,0,0,0
"1.1.4","CADE","Post-Chips Fire",4.18811934618,311.08,13.092664249222,1.44574241805925
"1.2.1","CADE","Post-Chips Fire",3.978595580652,111.1,21.353173066315,3.01133356437575
"1.2.2","CADE","Post-Chips Fire",0,0,0,0
"1.2.3","CADE","Post-Chips Fire",0,0,0,0
"1.2.4","CADE","Post-Chips Fire",0,0,0,0
"1.2.5","CADE","Post-Chips Fire",0,0,0,0
"1.2.6","CADE","Post-Chips Fire",21.423185493864,177.76,39.1723435602212,42.9396122601162
"1.3.1","CADE","Post-Chips Fire",0.90695902836,44.44,16.1198635229955,0.437164146828946
"1.3.2","CADE","Post-Chips Fire",0,0,0,0
"1.3.3","CADE","Post-Chips Fire",0,0,0,0
"1.3.4","CADE","Post-Chips Fire",0,0,0,0
"1.3.5","CADE","Post-Chips Fire",0,0,0,0
"1.3.6","CADE","Post-Chips Fire",2.8624967217,22.22,40.5,6.05274245549696
"1.4.1","CADE","Post-Chips Fire",0,0,0,0
"1.4.2","CADE","Post-Chips Fire",0,0,0,0
"1.4.3","CADE","Post-Chips Fire",0,0,0,0
"1.4.4","CADE","Post-Chips Fire",0,0,0,0
"1.4.5","CADE","Post-Chips Fire",0,0,0,0
"1.4.6","CADE","Post-Chips Fire",0,0,0,0
"2.1.1","CADE","Post-Chips Fire",6.261647225988,22.22,59.9,24.8142144442527
"2.1.2","CADE","Post-Chips Fire",6.687308908896,288.86,17.1686655545234,3.56652619185528
"2.1.3","CADE","Post-Chips Fire",2.895951415896,111.1,18.2176837166529,1.69873124472282
"2.1.4","CADE","Post-Chips Fire",0,0,0,0
"2.1.5","CADE","Post-Chips Fire",2.5453141098,66.66,22.0491874377871,2.02828218324009
"2.1.6","CADE","Post-Chips Fire",0,0,0,0
"2.2.1","CADE","Post-Chips Fire",0,0,0,0
"2.2.2","CADE","Post-Chips Fire",0,0,0,0
"2.2.3","CADE","Post-Chips Fire",8.15704674708,66.66,39.4719309552159,16.5507498157346
"2.2.4","CADE","Post-Chips Fire",0,0,0,0
"2.2.5","CADE","Post-Chips Fire",0.029336119428,22.22,4.1,0.00157095100287951
"2.2.6","CADE","Post-Chips Fire",0,0,0,0
"2.3.1","CADE","Post-Chips Fire",0,0,0,0
"2.3.2","CADE","Post-Chips Fire",0,0,0,0
"2.3.3","CADE","Post-Chips Fire",3.356917661328,199.98,14.6194695146195,1.38324087609169
"2.3.4","CADE","Post-Chips Fire",0,0,0,0
"2.3.5","CADE","Post-Chips Fire",0,0,0,0
"2.3.6","CADE","Post-Chips Fire",0,0,0,0
"2.4.1","CADE","Post-Chips Fire",0,0,0,0
"2.4.2","CADE","Post-Chips Fire",0,0,0,0
"2.4.3","CADE","Post-Chips Fire",0,0,0,0
"2.4.4","CADE","Post-Chips Fire",0,0,0,0
"2.4.5","CADE","Post-Chips Fire",0,0,0,0
"2.4.6","CADE","Post-Chips Fire",0,0,0,0
"3.1.1","CADE","Post-Chips Fire",3.029962160148,111.1,18.634430498408,1.84304725047033
"3.1.2","CADE","Post-Chips Fire",0,0,0,0
"3.1.3","CADE","Post-Chips Fire",0,0,0,0
"3.1.4","CADE","Post-Chips Fire",0,0,0,0
"3.1.5","CADE","Post-Chips Fire",0,0,0,0
"3.1.6","CADE","Post-Chips Fire",0,0,0,0
"3.2.1","CADE","Post-Chips Fire",5.76312516318,111.1,25.699610891996,5.87262197460794
"3.2.2","CADE","Post-Chips Fire",0.480895958928,22.22,16.6,0.242977743072555
"3.2.3","CADE","Post-Chips Fire",0,0,0,0
"3.2.4","CADE","Post-Chips Fire",1.866080853252,22.22,32.7,2.79911978967431
"3.2.5","CADE","Post-Chips Fire",0,0,0,0
"3.2.6","CADE","Post-Chips Fire",0,0,0,0
"3.3.2","CADE","Post-Chips Fire",0,0,0,0
"3.3.3","CADE","Post-Chips Fire",0,0,0,0
"3.3.4","CADE","Post-Chips Fire",6.622109776128,22.22,61.6,27.4482906436464
"3.3.5","CADE","Post-Chips Fire",0,0,0,0
"3.3.6","CADE","Post-Chips Fire",7.069865169444,44.44,45.0062773399445,17.707462428794
"3.4.1","CADE","Post-Chips Fire",0,0,0,0
"3.4.2","CADE","Post-Chips Fire",0,0,0,0
"3.4.3","CADE","Post-Chips Fire",0,0,0,0
"3.4.4","CADE","Post-Chips Fire",0,0,0,0
"3.4.5","CADE","Post-Chips Fire",0,0,0,0
"3.4.6","CADE","Post-Chips Fire",0,0,0,0
"4.1.1","CADE","Post-Chips Fire",0,0,0,0
"4.1.2","CADE","Post-Chips Fire",0,0,0,0
"4.1.3","CADE","Post-Chips Fire",0,0,0,0
"4.1.4","CADE","Post-Chips Fire",0,0,0,0
"4.1.5","CADE","Post-Chips Fire",0,0,0,0
"4.1.6","CADE","Post-Chips Fire",0,0,0,0
"4.2.1","CADE","Post-Chips Fire",0,0,0,0
"4.2.2","CADE","Post-Chips Fire",0,0,0,0
"4.2.3","CADE","Post-Chips Fire",0.0279225408,22.22,4,0.00143715332862183
"4.2.4","CADE","Post-Chips Fire",0,0,0,0
"4.2.5","CADE","Post-Chips Fire",0,0,0,0
"4.2.6","CADE","Post-Chips Fire",0,0,0,0
"4.3.1","CADE","Post-Chips Fire",0,0,0,0
"4.3.2","CADE","Post-Chips Fire",0,0,0,0
"4.3.3","CADE","Post-Chips Fire",0,0,0,0
"4.3.4","CADE","Post-Chips Fire",0,0,0,0
"4.3.5","CADE","Post-Chips Fire",0,0,0,0
"4.3.6","CADE","Post-Chips Fire",0,0,0,0
"4.4.1","CADE","Post-Chips Fire",0,0,0,0
"4.4.2","CADE","Post-Chips Fire",0,0,0,0
"4.4.3","CADE","Post-Chips Fire",0,0,0,0
"4.4.4","CADE","Post-Chips Fire",0,0,0,0
"4.4.5","CADE","Post-Chips Fire",0,0,0,0
"4.4.6","CADE","Post-Chips Fire",0,0,0,0
"1.1.1","PILA","Post-Chips Fire",0,0,0,0
"1.1.2","PILA","Post-Chips Fire",0,0,0,0
"1.1.3","PILA","Post-Chips Fire",0,0,0,0
"1.1.4","PILA","Post-Chips Fire",0,0,0,0
"1.2.1","PILA","Post-Chips Fire",0,0,0,0
"1.2.2","PILA","Post-Chips Fire",0,0,0,0
"1.2.3","PILA","Post-Chips Fire",0,0,0,0
"1.2.4","PILA","Post-Chips Fire",0,0,0,0
"1.2.5","PILA","Post-Chips Fire",0,0,0,0
"1.2.6","PILA","Post-Chips Fire",0,0,0,0
"1.3.1","PILA","Post-Chips Fire",0,0,0,0
"1.3.2","PILA","Post-Chips Fire",0,0,0,0
"1.3.3","PILA","Post-Chips Fire",5.336852674692,22.22,55.3,18.6037688461853
"1.3.4","PILA","Post-Chips Fire",0,0,0,0
"1.3.5","PILA","Post-Chips Fire",0,0,0,0
"1.3.6","PILA","Post-Chips Fire",0,0,0,0
"1.4.1","PILA","Post-Chips Fire",0,0,0,0
"1.4.2","PILA","Post-Chips Fire",0,0,0,0
"1.4.3","PILA","Post-Chips Fire",0,0,0,0
"1.4.4","PILA","Post-Chips Fire",0,0,0,0
"1.4.5","PILA","Post-Chips Fire",0,0,0,0
"1.4.6","PILA","Post-Chips Fire",0,0,0,0
"2.1.1","PILA","Post-Chips Fire",22.00872117444,44.44,79.4081230101808,137.126031314953
"2.1.2","PILA","Post-Chips Fire",0,0,0,0
"2.1.3","PILA","Post-Chips Fire",33.739259789928,44.44,98.3185130074698,296.180931140788
"2.1.4","PILA","Post-Chips Fire",0,0,0,0
"2.1.5","PILA","Post-Chips Fire",37.1998049808,22.22,146,615.983219657243
"2.1.6","PILA","Post-Chips Fire",0,0,0,0
"2.2.1","PILA","Post-Chips Fire",0,0,0,0
"2.2.2","PILA","Post-Chips Fire",1.197946806672,22.22,26.2,1.25907903222801
"2.2.3","PILA","Post-Chips Fire",9.9024673209,44.44,53.2646693409431,32.5027625714612
"2.2.4","PILA","Post-Chips Fire",0,0,0,0
"2.2.5","PILA","Post-Chips Fire",0,0,0,0
